peer_country,peer_lat,peer_lon,count(*)
"United States",40.7282,-73.7949,1
Switzerland,46.5197,6.63227,2
China,36.2647,120.033,1
Netherlands,52.3563,4.95714,210
Germany,49.0096,8.41217,4
Russia,55.7623,37.6381,2
Germany,49.0976,12.4869,191
Italy,45.4655,9.18652,6
China,32.0739,118.738,1
Romania,44.4325,26.1039,11
Netherlands,52.3702,4.89517,152
Italy,43.6124,13.4273,2
Netherlands,52.3909,4.66476,2
Ireland,53.3498,-6.26031,2
Denmark,55.7635,12.4949,1
"United States",42.0568,-87.8082,15
"United States",41.8781,-87.6298,7
Germany,50.1109,8.68213,19
"United States",45.5214,-122.681,840
Russia,55.7315,37.6457,5
China,34.0522,-118.244,15
"United States",39.0086,-77.5039,448
Indonesia,-6.18054,106.828,1
"United States",40.2079,-75.0727,1
China,34.1534,117.178,1
"United States",37.3598,-121.981,125
"United States",39.0438,-77.4874,46
"United States",37.0583,-120.85,1
Spain,40.4196,-3.8017,1
"United States",47.2529,-122.444,1
"South Africa",-25.7298,28.3024,1
Germany,49.452,11.0767,4
"United States",34.0522,-118.244,53
China,30.7735,120.754,1
Russia,55.0279,82.9689,5
"United Kingdom",51.5198,-0.631666,1
Finland,60.1733,24.941,7
Switzerland,46.948,7.44745,1
Switzerland,47.3769,8.54169,3
China,33.4408,113.608,2
Netherlands,52.2959,4.94417,50
Japan,35.6906,139.77,14
"United States",29.5016,-97.4525,1
"Republic of Moldova",47.04,28.8246,1
Russia,59.8505,30.3759,1
Italy,40.8364,14.2407,1
"Hong Kong",22.2825,114.162,4
"Bosnia and Herzegovina",43.855,18.4026,1
Thailand,13.7563,100.502,5
Serbia,44.7494,20.4997,1
Serbia,44.8206,20.4622,1
"United States",37.7749,-122.419,1
Thailand,7.56448,99.6239,1
"United States",40.0992,-83.1141,27
"United States",42.893,-78.8753,1
Russia,55.7522,37.6202,2
"United States",37.3394,-121.895,3
Italy,44.6488,10.9201,1
China,30.5465,114.342,1
Japan,35.694,139.754,3
Italy,41.8955,12.4823,2
"United States",42.3584,-71.0598,1
Switzerland,47.4624,8.39012,2
"United States",41.885,-87.7845,4
France,47.2184,-1.55362,2
Germany,48.7754,9.18176,1
"Republic of Korea",37.3827,127.119,1
"United Kingdom",53.4793,-2.24849,1
"United States",36.1699,-115.14,3
France,48.8713,2.32142,3
Israel,31.8694,34.984,2
"United States",39.3722,-104.856,1
China,39.9822,116.306,17
"United States",34.4973,-83.55,1
Japan,35.6804,139.772,1
"United Arab Emirates",25.2711,55.3075,3
"United States",40.7357,-74.1724,4
Russia,55.7315,37.6453,1
"Republic of Korea",37.536,126.971,1
"United States",41.866,-103.665,1
Venezuela,10.4917,-66.9138,7
"United States",37.3541,-121.955,2
"United States",39.0278,-94.6558,1
Slovenia,46.0364,14.4896,1
"United States",39.2904,-76.6122,1
Germany,48.1367,11.5768,1
"United States",40.8054,-74.0241,4
"United Kingdom",51.1564,-0.154484,1
Mauritius,-20.1661,57.5025,1
Nigeria,6.46467,3.44907,4
Romania,44.4512,26.0877,1
"United States",38.9072,-77.0369,11
Latvia,56.8891,24.2324,1
Singapore,1.28445,103.851,2
India,15.8281,78.0373,4
"United States",26.1224,-80.1373,2
"United Kingdom",55.9007,-3.51807,1
"United States",28.5842,-81.2144,1
"United States",29.7602,-95.3694,4
Finland,60.3909,23.1355,1
Canada,49.4928,-117.295,1
Canada,39.7668,-75.4971,2
"United Kingdom",51.5074,-0.127758,8
Canada,49.8339,-119.524,1
Slovenia,46.0676,14.5407,1
Norway,59.9111,10.7333,1
"United Kingdom",50.7192,-1.88077,1
China,32.4017,111.687,50
Germany,52.3759,9.73201,2
"United States",39.7684,-86.1581,4
Russia,55.7558,37.6173,5
"United States",40.7128,-74.0059,2
"United States",40.4406,-79.9959,4
Chile,-33.4314,-70.6093,1
Ukraine,49.2331,28.4682,1
Spain,40.5005,-3.66739,5
Ukraine,48.574,39.3078,1
Russia,54.9667,73.3833,1
Norway,59.0538,10.0295,1
"United States",36.9112,-80.3201,1
Germany,51.2277,6.77346,4
"United States",33.8477,-118.118,1
"United States",25.7891,-80.204,2
"United States",33.4484,-112.074,4
"United States",45.5235,-122.676,6
"United States",42.5468,-83.1353,4
Philippines,14.5591,121.019,5
Croatia,45.7858,16.0315,1
"United States",40.7056,-73.978,5
Ukraine,50.4501,30.5234,7
"United States",35.2271,-80.8431,3
Germany,52.4651,13.3961,1
Taiwan,25.0911,121.56,3
Morocco,34.015,-6.83272,2
"United States",39.9523,-75.1638,6
Ukraine,49.423,26.9871,1
Poland,52.2297,21.0122,3
China,22.1987,113.544,1
"United States",37.8044,-122.271,1
Indonesia,-5.16613,119.434,1
Pakistan,31.5113,74.3454,1
Russia,56.2405,43.9442,1
Brazil,-23.6708,-46.4615,1
Japan,35.7087,139.609,2
Italy,45.4654,9.18592,1
China,34.7466,113.625,12
Russia,60.0084,30.2959,1
Argentina,-34.6037,-58.3816,1
"United States",41.14,-104.82,1
Russia,55.7472,37.6259,1
"Republic of Korea",37.507,126.722,1
Serbia,46.108,19.6426,1
"United States",35.042,-89.6645,1
"Republic of Moldova",47.0105,28.8638,1
Netherlands,52.0691,4.32419,1
"United States",33.9991,-117.983,1
Switzerland,46.5321,6.58832,2
"United States",40.7218,-74.0094,3
France,48.8764,2.28732,1
Germany,49.4474,11.083,2
"United States",41.2878,-88.2856,1
"Hong Kong",22.3702,114.13,5
Canada,49.1044,-122.801,1
Pakistan,24.8553,67.0261,1
Czechia,50.0755,14.4378,2
Croatia,43.5287,16.4991,1
"United States",42.9908,-89.5332,1
Austria,48.2082,16.3738,4
Bulgaria,42.7169,23.2939,1
"United States",30.396,-88.8853,1
Germany,52.5192,13.4061,3
Netherlands,52.997,6.56675,1
Australia,-37.8136,144.963,1
China,32.0617,118.763,3
Kazakhstan,51.1786,71.455,4
"United States",34.0255,-118.352,2
Canada,53.5444,-113.491,2
Ukraine,50.5208,30.5216,2
Finland,60.4859,22.169,2
Denmark,55.6761,12.5683,1
Switzerland,47.4733,8.19596,1
China,23.1292,113.264,12
Nigeria,6.52438,3.37921,3
"United States",43.2112,-123.347,1
Turkey,41.0175,29.1752,1
Russia,57.1296,65.5969,5
"United States",30.6744,-96.37,1
China,36.2669,111.92,3
"United Kingdom",51.5902,-0.25177,4
Czechia,50.0582,14.4443,1
Russia,50.2728,127.54,1
Netherlands,53.2103,6.58883,4
Canada,45.3714,-75.7496,1
"United States",39.17,-86.5352,1
Russia,46.6767,38.2844,1
Kyrgyzstan,42.8746,74.5698,1
Czechia,50.0852,14.3668,1
Austria,48.1879,16.4027,1
Finland,61.5,23.7667,1
"United States",38.8339,-104.821,3
"South Africa",-26.2041,28.0473,1
Canada,45.5029,-73.5723,1
"United States",35.7482,-78.5547,1
"United States",38.5816,-121.494,3
"United States",30.0989,-94.1667,1
China,38.914,121.615,1
Indonesia,-6.17642,106.822,2
"United States",33.749,-84.388,1
Russia,55.9342,37.8349,1
Bermuda,32.2948,-64.7814,1
Belgium,50.8522,4.35983,1
Canada,43.656,-79.4526,1
"Hong Kong",22.4947,114.107,1
"United States",39.4112,-123.354,1
India,19.0044,72.8266,1
Venezuela,10.4979,-66.8379,1
Vietnam,21.0278,105.834,1
"United States",38.627,-90.1994,1
Indonesia,-6.18649,106.834,1
Spain,40.3959,-3.68372,2
"United States",8.98121,-79.5226,1
"United States",35.1107,-106.61,1
Ukraine,46.4721,30.7528,1
Ukraine,47.8388,35.1396,5
"United Kingdom",51.5174,-0.0707792,3
"United States",34.0435,-118.252,2
"United States",41.4369,-82.1333,1
"United States",39.0558,-95.689,1
Netherlands,52.3687,4.92265,6
Japan,35.6204,139.726,1
"United Kingdom",51.5076,-0.024526,2
Malaysia,3.13675,101.691,1
"United States",40.1164,-88.2434,1
France,43.4066,6.06119,1
"United States",35.0527,-78.8784,1
Australia,-27.4698,153.025,2
Pakistan,24.9301,67.1306,1
Singapore,1.28009,103.851,9
Colombia,4.65454,-74.0877,1
Egypt,30.0451,31.2354,2
Italy,41.9028,12.4964,1
"Hong Kong",22.2643,114.188,1
France,48.8716,2.32049,2
Egypt,30.077,31.0192,1
Kazakhstan,43.222,76.8512,2
"Sri Lanka",6.91478,79.8575,1
Canada,45.4215,-75.6972,1
"United States",40.8302,-74.1299,1
"United Kingdom",54.5973,-5.93012,1
Thailand,13.7818,100.574,1
China,39.9949,116.316,1
"United States",34.23,-117.2,1
Pakistan,33.7294,73.0931,1
"Republic of Lithuania",54.709,25.2976,1
Denmark,55.665,12.6212,1
China,31.9802,120.894,7
Chile,-33.4623,-70.6471,1
Nigeria,6.44426,3.42752,1
Thailand,13.7736,100.541,1
Taiwan,25.0289,121.468,1
Thailand,13.9323,100.626,2
China,39.9101,116.357,1
Japan,44.9814,-93.2823,1
"Republic of Korea",37.3588,127.115,1
"United States",32.7157,-117.161,1
Japan,36.3147,139.8,2
"United States",47.6062,-122.332,4
Ukraine,46.2952,30.6481,1
"New Zealand",-43.5419,172.614,1
China,26.1057,119.305,3
India,18.5204,73.8567,1
Bahamas,25.0472,-77.3244,1
Russia,51.9344,41.7565,1
Denmark,55.2246,11.7592,1
Russia,56.8398,60.5827,1
China,28.0171,120.666,1
Japan,34.6932,135.494,1
"United States",38.8542,-77.572,1
"United States",45.5393,-122.387,1
Germany,50.7226,7.15573,2
Russia,60.9425,76.5807,1
Ghana,5.60372,-0.186964,1
"United States",27.7514,-82.7293,1
"United States",37.3382,-121.886,1
Australia,-31.9505,115.86,1
Brazil,-6.05537,-38.506,1
Austria,48.1441,16.3007,1
Belgium,50.8503,4.35171,1
Sweden,59.3293,18.0686,4
Slovakia,49.21,18.7404,1
Germany,48.1044,11.601,1
Norway,59.8995,10.6287,1
Ukraine,50.0169,36.2242,1
Russia,47.2333,39.7,2
"United States",34.2001,-83.4574,1
Canada,49.281,-123.117,1
Ukraine,50.1531,30.7435,1
Qatar,25.2854,51.531,1
"Republic of Korea",37.5665,126.978,3
"United States",26.0078,-80.2963,1
Brazil,-19.9245,-43.9353,1
"United States",44.3148,-85.6024,1
Portugal,38.7722,-9.09768,1
"United States",42.0664,-87.9373,1
France,48.8308,2.3592,1
"United States",35.7596,-79.0193,2
Portugal,41.1579,-8.62911,1
Netherlands,51.4416,5.46972,1
Canada,45.4977,-73.5709,1
"United Kingdom",51.7356,0.46855,1
"United States",36.8529,-75.978,1
Germany,52.4651,13.3963,1
"United Kingdom",51.4167,-1.31975,1
Poland,51.7592,19.456,1
France,48.8049,2.33495,2
"United States",40.3356,-75.9269,1
"United States",40.2365,-83.3671,1
Mexico,19.4307,-99.2084,2
"United States",43.6071,-96.8137,1
